Dynobil Söke,₺0,"₺3,170","₺5,000","₺6,000","₺12,000","₺10,000","₺5,000","₺10,000","₺10,750","₺61,920"
Dynobil Nazilli,₺0,₺0,₺0,"₺2,475","₺2,450",₺0,₺0,₺450,"₺3,150","₺8,525"
Dynobil Bandırma,"₺1,000","₺2,000","₺4,000","₺6,000","₺6,000","₺6,000","₺4,000","₺2,000","₺4,000","₺35,000"
Dynobil Ayvalık,₺0,"₺2,000","₺1,000","₺3,000","₺3,000","₺5,000","₺2,000","₺3,000","₺3,000","₺22,000"
Dynobil Burhaniye,₺0,₺0,₺0,₺0,"₺3,000",₺0,"₺2,000","₺3,000",₺0,"₺8,000"
Dynobil Gönen,₺0,₺0,₺500,"₺1,600","₺1,350","₺3,150","₺1,700",₺950,₺800,"₺10,050"
Dynobil Balıkesir,₺0,"₺5,500","₺7,000","₺10,000","₺10,500","₺14,000","₺7,500","₺11,000","₺2,000","₺67,500"
Dynobil Kuva-i Milliye,₺500,₺800,"₺2,600","₺1,600","₺1,000","₺6,000",₺0,"₺2,500","₺2,100","₺17,100"
Dynobil Edremit,₺0,₺0,₺0,₺0,₺0,₺0,₺700,"₺2,900","₺2,481","₺6,081"
Dynobil Bilecik,₺0,₺0,₺0,₺0,"₺4,010","₺6,500","₺1,500","₺2,000","₺3,500","₺17,510"
Dynobil Bitlis,₺0,₺0,₺0,₺0,₺0,₺0,₺0,₺0,₺200,₺200
Dynobil Bolu,₺0,"₺1,000","₺1,500","₺3,000","₺6,000","₺6,000","₺3,500","₺3,700","₺2,500","₺27,200"
Dynobil Burdur,₺0,"₺2,075","₺3,050","₺3,950","₺4,835","₺5,550","₺3,750","₺3,325","₺3,975","₺30,510"
Dynobil OSMANGAZİ Merkez,₺0,"₺1,700","₺1,600","₺3,225","₺3,800","₺5,300","₺1,300","₺2,000","₺1,500","₺20,425"
Dynobil M.Kemalpaşa,₺700,"₺1,912","₺1,689","₺3,045","₺4,310","₺4,750","₺3,500","₺2,700","₺1,700","₺24,306"
Dynobil Gemlik,₺500,"₺1,050",₺0,₺0,₺0,₺0,₺0,₺0,"₺1,000","₺2,550"
Dynobil Nilüfer,"₺1,000",₺0,₺0,₺0,"₺1,900","₺2,400","₺1,200",₺0,"₺1,000","₺7,500"
Dynobil Yunuseli,₺250,₺0,₺800,₺950,"₺1,900","₺1,800",₺500,₺487,₺215,"₺6,902"
Dynobil Emek,₺0,"₺1,000","₺2,230","₺3,500","₺4,500","₺5,300","₺3,595","₺3,750","₺4,500","₺28,375"
Dynobil Orhazgazi,₺500,₺850,"₺3,353","₺3,980","₺5,530","₺7,000","₺2,515","₺5,150","₺3,000","₺31,878"
Dynobil İznik,₺0,₺800,"₺1,400","₺1,800","₺1,300","₺2,000","₺1,250","₺1,000","₺1,000","₺10,550"
Dynobil İnegöl,₺600,"₺1,850","₺1,800","₺3,100","₺6,000","₺5,000","₺2,850","₺4,300","₺2,700","₺28,200"
Dynobil Karacabey,₺0,"₺1,700","₺2,600","₺4,450","₺5,400","₺10,200","₺4,100","₺3,650","₺3,870","₺35,970"
Dynobil Çanakkele,₺570,"₺2,270","₺3,800","₺6,100","₺11,100","₺12,000","₺4,600","₺7,000","₺7,500","₺54,940"
Dynobil Biga,"₺1,000","₺2,000","₺2,000","₺4,500","₺7,500","₺7,500","₺3,000","₺5,000","₺5,000","₺37,500"
Dynobil Gelibolu,₺350,₺550,"₺1,780","₺1,680","₺3,200","₺4,470",₺750,"₺2,150","₺1,120","₺16,050"
Dynobil Çankırı,₺0,"₺2,500","₺3,500","₺4,000","₺6,500","₺6,000","₺3,000","₺5,000","₺3,500","₺34,000"
Dynobil Çorum,₺0,"₺2,100","₺2,300","₺5,400","₺5,930","₺7,350","₺5,800","₺3,100","₺3,600","₺35,580"
Dynobil Acıpayam,₺0,₺0,"₺2,000","₺2,000","₺3,000","₺3,000","₺2,000","₺3,000","₺3,000","₺18,000"
Denizli Merkez,₺0,₺0,"₺1,700","₺7,552","₺7,500","₺6,825","₺6,000","₺6,750","₺6,300","₺42,627"
Dynobil Otonomi,₺0,"₺3,800","₺5,000","₺7,400","₺9,000","₺9,200","₺5,000","₺5,600","₺5,000","₺50,000"
Dynobil Yenişehir,₺500,"₺2,940","₺3,550","₺3,650","₺5,620","₺6,870","₺3,650","₺3,450","₺5,500","₺35,730"
Dynobil Ergani,₺0,"₺3,000","₺3,500","₺5,000","₺5,000","₺3,000","₺3,500","₺8,000",₺0,"₺31,000"
Dynobil Elazığ,₺200,"₺1,900","₺2,300","₺2,600","₺1,400","₺3,000","₺2,700",₺400,₺400,"₺14,900"
Dynobil Erzincan,₺0,₺0,₺200,₺400,"₺1,200",₺600,₺800,₺200,₺200,"₺3,600"
Dynobil Erzurum,₺0,₺0,₺500,"₺1,000","₺2,000","₺3,500","₺1,000",₺0,₺500,"₺8,500"
Dynobil Eskişehir,"₺1,000","₺5,400","₺6,400","₺13,200","₺13,000","₺19,000","₺11,000","₺11,000","₺12,000","₺92,000"
Dynobil Şehitkamil (OTO CENTER'İN YAKINI),₺0,₺0,₺0,₺0,₺0,"₺3,000",₺0,"₺1,500",₺0,"₺4,500"
Dynobil Giresun,₺650,"₺1,440","₺1,775","₺2,545","₺4,070","₺6,140","₺3,367","₺3,220","₺2,560","₺25,767"
Dynobil Yüksekova,₺0,₺500,₺600,"₺1,600","₺1,400","₺1,800","₺1,000","₺1,500",₺950,"₺9,350"
Dynobil Dörtyol,₺800,"₺3,250","₺5,300","₺7,775","₺12,150","₺9,500","₺6,500","₺5,500","₺6,950","₺57,725"
Dynobil İskenderun,₺0,₺300,"₺1,400","₺1,830","₺1,200","₺3,000","₺1,000",₺500,₺500,"₺9,730"
Dynobil Samandağ,₺500,"₺1,100","₺1,900","₺2,000","₺2,500","₺3,450","₺2,420","₺2,240","₺2,000","₺18,110"
Dynobil Kırıkhan,₺0,"₺2,000","₺2,000","₺3,000","₺4,000","₺4,000","₺2,000","₺3,000","₺1,000","₺21,000"
Dynobil Antakya,₺0,₺0,₺0,₺0,₺500,"₺1,500",₺300,"₺1,200",₺700,"₺4,200"
Dynobil Payas,₺500,"₺1,360","₺1,000","₺2,005","₺3,100","₺3,800","₺2,300","₺2,330","₺2,355","₺18,750"
Dynobil Reyhanlı,₺0,₺500,₺500,₺500,"₺2,500","₺2,000","₺2,000","₺1,000","₺1,000","₺10,000"
Dynobil Isparta,"₺1,025","₺2,950","₺6,250","₺8,850","₺11,125","₺12,200","₺9,200","₺8,225","₺8,949","₺68,774"
Dynobil yalvaç,₺0,₺0,₺0,₺100,₺900,"₺2,150","₺1,000",₺0,"₺1,000","₺5,150"
Dynobil Erdemli,₺600,"₺2,600","₺4,180","₺7,000","₺8,940","₺9,692","₺4,900","₺7,900","₺6,600","₺52,412"
Dynobil Anamur,₺300,₺620,"₺1,275","₺3,090","₺3,705","₺4,530","₺2,400","₺2,700","₺2,900","₺21,520"
Dynobil Silifke,₺250,"₺2,260","₺5,030","₺6,860","₺8,150","₺11,450","₺4,950","₺5,030","₺4,050","₺48,030"
Dynobil Mezitli,"₺1,000","₺3,600","₺4,900","₺5,000","₺7,000","₺10,200","₺4,000","₺4,400","₺4,300","₺44,400"
Dynobil Yenişehir,₺0,₺0,₺750,"₺1,000","₺2,965","₺7,000","₺2,000","₺4,347","₺1,500","₺19,562"
Dynobil Tarsus,₺300,"₺1,300","₺1,500","₺5,000",₺0,"₺2,250","₺4,150","₺1,650","₺4,000","₺20,150"
Dynobil Bahçelievler (Avr),₺0,"₺5,500","₺6,000","₺5,400","₺9,500","₺11,300","₺6,800","₺6,000","₺6,000","₺56,500"
Dynobil Sultangazi (Avr),₺0,"₺12,000","₺15,000","₺22,000","₺22,500","₺31,500","₺20,000","₺22,000","₺21,000","₺166,000"
Dynobil Esenyurt (Avr),₺0,"₺7,305","₺10,640","₺13,150","₺13,450","₺20,150","₺11,600","₺12,395","₺7,150","₺95,840"
Dynobil Ümraniye (And),₺0,"₺3,880","₺2,745","₺4,725","₺7,045","₺7,975","₺7,550","₺5,500","₺6,714","₺46,134"
Dynobil Esenler (Avr),₺0,"₺3,200","₺2,700","₺4,400","₺4,500","₺8,000","₺3,500","₺4,900","₺1,200","₺32,400"
Dynobil Arnavutköy (Avr),₺0,₺0,"₺3,500","₺5,000","₺12,000","₺12,000","₺3,000","₺7,000","₺8,000","₺50,500"
Dynobil Başakşehir (Avr),₺0,"₺1,500",₺500,"₺3,800","₺7,100","₺12,400","₺5,350","₺4,900","₺1,000","₺36,550"
Dynobil Pendik (And),"₺1,000",₺500,"₺3,750","₺2,600","₺1,000","₺4,300","₺1,750","₺2,450","₺1,250","₺18,600"
Dynobil Maslak (Avr),₺0,₺975,"₺1,450","₺3,320","₺4,189","₺4,950","₺2,130","₺1,840","₺2,480","₺21,334"
